id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1775,"17 Lakewood Boulevard, Flinders",3.0,2,2.0,890000.0,-34.5874563,150.8528094,2529.0,120.6,7379.767827529022,Wollongong,271.13466578049884,1196978.0666666667,2875.2331998273853
1776,"91a Booker Bay Road, Booker Bay",3.0,1,1.0,835000.0,-33.512498,151.345246,2257.0,248.7,3357.458785685565,Sydney,1454.3243011999684,1573879.1666666667,2283.8242848897985
1777,"31 Thornbill Street, Wongawilli",3.0,2,1.0,814000.0,-34.477902,150.765159,2530.0,329.0,2474.164133738602,Wollongong,188.791098849984,957088.6363636364,1731.0217720483922
1778,"65 Home Street, Port Macquarie",3.0,2,1.0,770000.0,-31.4368636,152.91718323461285,2444.0,351.0,2193.7321937321935,Newcastle,35153.01220965662,972872.340425532,1686.345804063777
1779,"28 Fletcher Street, Beresfield",4.0,2,2.0,652500.0,-32.801036,151.649928,2322.0,306.9,2126.0997067448684,Newcastle,324.2521767999949,890760.3773584906,1267.429751742148
1780,"22 Homelands Avenue, Carlingford",5.0,3,2.0,1840000.0,-33.7881522,151.0414808,2118.0,313.0,5878.594249201278,Sydney,346.6735153348864,2288810.0833333335,3239.976886528431
1781,"21a Elder Road, Dundas",4.0,3,2.0,1670000.0,-33.804358,151.039326,2117.0,352.0,4744.318181818182,Sydney,330.43932040008355,2187711.0322580645,3870.8154971340623
1782,"4 Antill Road, Edmondson Park",4.0,2,2.0,1390000.0,-33.9595718,150.857381,2174.0,352.0,3948.8636363636365,Sydney,1320.865022362464,1248777.7777777778,3722.086991781922
1783,"145 Maddecks Avenue, Moorebank",4.0,2,1.0,1350000.0,-33.9329227,150.9615547,2170.0,300.0,4500.0,Sydney,654.8945432738954,1385365.5913978494,2826.032895077948
1784,"7 Travers Street, Moorebank",3.0,2,2.0,1170000.0,-33.9333763,150.9583188,2170.0,246.0,4756.09756097561,Sydney,671.6166127513609,1385365.5913978494,2826.032895077948
